time,theta0,theta1,theta2
0.001000,1.826477,-1.824977,1.321116
0.002000,1.829479,-1.826479,1.324114
0.003000,1.832482,-1.827982,1.327111
0.004000,1.835486,-1.829486,1.330107
0.005000,1.838492,-1.830991,1.333102
0.006000,1.841498,-1.832497,1.336096
0.007000,1.844505,-1.834005,1.339088
0.008000,1.847514,-1.835513,1.342079
0.009000,1.850524,-1.837022,1.345069
0.010000,1.853535,-1.838533,1.348058
0.011000,1.856546,-1.840044,1.351045
0.012000,1.859559,-1.841557,1.354031
0.013000,1.862573,-1.843070,1.357016
0.014000,1.865588,-1.844585,1.360000
0.015000,1.868604,-1.846100,1.362982
0.016000,1.871621,-1.847616,1.365963
0.017000,1.874639,-1.849134,1.368943
0.018000,1.877658,-1.850652,1.371921
0.019000,1.880679,-1.852171,1.374899
0.020000,1.883700,-1.853691,1.377874
0.021000,1.886722,-1.855212,1.380849
0.022000,1.889745,-1.856733,1.383822
0.023000,1.892769,-1.858256,1.386794
0.024000,1.895794,-1.859779,1.389764
0.025000,1.898820,-1.861303,1.392733
0.026000,1.901846,-1.862828,1.395700
0.027000,1.904874,-1.864354,1.398667
0.028000,1.907903,-1.865880,1.401631
0.029000,1.910933,-1.867408,1.404595
0.030000,1.913963,-1.868936,1.407557
0.031000,1.916994,-1.870464,1.410517
0.032000,1.920027,-1.871994,1.413476
0.033000,1.923060,-1.873524,1.416434
0.034000,1.926094,-1.875055,1.419390
0.035000,1.929129,-1.876586,1.422345
0.036000,1.932165,-1.878118,1.425298
0.037000,1.935201,-1.879651,1.428250
0.038000,1.938238,-1.881185,1.431200
0.039000,1.941277,-1.882719,1.434149
0.040000,1.944316,-1.884253,1.437096
0.041000,1.947356,-1.885788,1.440042
0.042000,1.950396,-1.887324,1.442986
0.043000,1.953438,-1.888860,1.445928
0.044000,1.956480,-1.890397,1.448870
0.045000,1.959523,-1.891934,1.451809
0.046000,1.962566,-1.893472,1.454747
0.047000,1.965611,-1.895011,1.457683
0.048000,1.968656,-1.896549,1.460618
0.049000,1.971702,-1.898089,1.463552
0.050000,1.974749,-1.899628,1.466483
0.051000,1.977796,-1.901169,1.469413
0.052000,1.980844,-1.902709,1.472342
0.053000,1.983893,-1.904250,1.475268
0.054000,1.986942,-1.905792,1.478193
0.055000,1.989993,-1.907333,1.481117
0.056000,1.993043,-1.908875,1.484039
0.057000,1.996095,-1.910418,1.486959
0.058000,1.999147,-1.911961,1.489877
0.059000,2.002200,-1.913504,1.492794
0.060000,2.005253,-1.915047,1.495709
0.061000,2.008307,-1.916591,1.498623
0.062000,2.011362,-1.918135,1.501534
0.063000,2.014417,-1.919679,1.504444
0.064000,2.017473,-1.921224,1.507353
0.065000,2.020529,-1.922769,1.510259
0.066000,2.023586,-1.924314,1.513164
0.067000,2.026644,-1.925859,1.516067
0.068000,2.029702,-1.927404,1.518968
0.069000,2.032761,-1.928950,1.521868
0.070000,2.035820,-1.930496,1.524766
0.071000,2.038880,-1.932042,1.527662
0.072000,2.041940,-1.933588,1.530556
0.073000,2.045001,-1.935134,1.533448
0.074000,2.048063,-1.936680,1.536339
0.075000,2.051124,-1.938226,1.539227
0.076000,2.054187,-1.939773,1.542114
0.077000,2.057250,-1.941319,1.544999
0.078000,2.060313,-1.942866,1.547883
0.079000,2.063377,-1.944413,1.550764
0.080000,2.066441,-1.945959,1.553644
0.081000,2.069506,-1.947506,1.556521
0.082000,2.072571,-1.949052,1.559397
0.083000,2.075636,-1.950599,1.562271
0.084000,2.078702,-1.952146,1.565143
0.085000,2.081769,-1.953692,1.568013
0.086000,2.084836,-1.955239,1.570881
0.087000,2.087903,-1.956785,1.573747
0.088000,2.090971,-1.958331,1.576611
0.089000,2.094039,-1.959878,1.579474
0.090000,2.097107,-1.961424,1.582334
0.091000,2.100176,-1.962970,1.585193
0.092000,2.103245,-1.964516,1.588049
0.093000,2.106314,-1.966061,1.590903
0.094000,2.109384,-1.967607,1.593756
0.095000,2.112454,-1.969152,1.596606
0.096000,2.115524,-1.970698,1.599455
0.097000,2.118595,-1.972243,1.602301
0.098000,2.121666,-1.973787,1.605146
0.099000,2.124738,-1.975332,1.607988
0.100000,2.127809,-1.976876,1.610829
0.101000,2.130881,-1.978420,1.613667
0.102000,2.133953,-1.979964,1.616504
0.103000,2.137026,-1.981507,1.619338
0.104000,2.140098,-1.983050,1.622170
0.105000,2.143171,-1.984593,1.625000
0.106000,2.146244,-1.986136,1.627828
0.107000,2.149318,-1.987678,1.630654
0.108000,2.152391,-1.989220,1.633478
0.109000,2.155465,-1.990761,1.636300
0.110000,2.158539,-1.992302,1.639119
0.111000,2.161614,-1.993843,1.641937
0.112000,2.164688,-1.995383,1.644752
0.113000,2.167762,-1.996923,1.647565
0.114000,2.170837,-1.998462,1.650376
0.115000,2.173912,-2.000001,1.653185
0.116000,2.176987,-2.001540,1.655992
0.117000,2.180062,-2.003078,1.658797
0.118000,2.183138,-2.004615,1.661599
0.119000,2.186213,-2.006152,1.664399
0.120000,2.189289,-2.007689,1.667197
0.121000,2.192364,-2.009225,1.669993
0.122000,2.195440,-2.010760,1.672786
0.123000,2.198516,-2.012295,1.675578
0.124000,2.201592,-2.013829,1.678367
0.125000,2.204668,-2.015363,1.681154
0.126000,2.207744,-2.016896,1.683938
0.127000,2.210820,-2.018429,1.686721
0.128000,2.213896,-2.019961,1.689501
0.129000,2.216973,-2.021492,1.692278
0.130000,2.220049,-2.023023,1.695054
0.131000,2.223125,-2.024553,1.697827
0.132000,2.226201,-2.026082,1.700598
0.133000,2.229278,-2.027611,1.703367
0.134000,2.232354,-2.029139,1.706133
0.135000,2.235430,-2.030666,1.708897
0.136000,2.238507,-2.032192,1.711659
0.137000,2.241583,-2.033718,1.714418
0.138000,2.244659,-2.035243,1.717175
0.139000,2.247735,-2.036768,1.719930
0.140000,2.250812,-2.038291,1.722682
0.141000,2.253888,-2.039814,1.725432
0.142000,2.256964,-2.041336,1.728180
0.143000,2.260040,-2.042857,1.730925
0.144000,2.263115,-2.044377,1.733668
0.145000,2.266191,-2.045897,1.736408
0.146000,2.269267,-2.047415,1.739146
0.147000,2.272342,-2.048933,1.741881
0.148000,2.275418,-2.050450,1.744615
0.149000,2.278493,-2.051966,1.747345
0.150000,2.281568,-2.053481,1.750074
0.151000,2.284643,-2.054996,1.752799
0.152000,2.287718,-2.056509,1.755523
0.153000,2.290793,-2.058021,1.758244
0.154000,2.293868,-2.059533,1.760962
0.155000,2.296942,-2.061044,1.763678
0.156000,2.300016,-2.062553,1.766392
0.157000,2.303090,-2.064062,1.769103
0.158000,2.306164,-2.065569,1.771811
0.159000,2.309238,-2.067076,1.774517
0.160000,2.312311,-2.068581,1.777220
0.161000,2.315385,-2.070086,1.779921
0.162000,2.318458,-2.071590,1.782620
0.163000,2.321530,-2.073092,1.785316
0.164000,2.324603,-2.074593,1.788009
0.165000,2.327675,-2.076094,1.790700
0.166000,2.330747,-2.077593,1.793388
0.167000,2.333819,-2.079091,1.796074
0.168000,2.336890,-2.080588,1.798757
0.169000,2.339961,-2.082084,1.801438
0.170000,2.343032,-2.083579,1.804116
0.171000,2.346103,-2.085073,1.806791
0.172000,2.349173,-2.086565,1.809464
0.173000,2.352243,-2.088057,1.812134
0.174000,2.355312,-2.089547,1.814801
0.175000,2.358382,-2.091036,1.817466
0.176000,2.361451,-2.092524,1.820129
0.177000,2.364519,-2.094010,1.822788
0.178000,2.367587,-2.095496,1.825445
0.179000,2.370655,-2.096980,1.828100
0.180000,2.373723,-2.098463,1.830752
0.181000,2.376790,-2.099945,1.833401
0.182000,2.379857,-2.101425,1.836047
0.183000,2.382923,-2.102904,1.838691
0.184000,2.385989,-2.104382,1.841332
0.185000,2.389054,-2.105858,1.843970
0.186000,2.392119,-2.107334,1.846606
0.187000,2.395184,-2.108808,1.849239
0.188000,2.398248,-2.110280,1.851869
0.189000,2.401312,-2.111751,1.854497
0.190000,2.404375,-2.113221,1.857121
0.191000,2.407438,-2.114690,1.859744
0.192000,2.410501,-2.116157,1.862363
0.193000,2.413563,-2.117623,1.864980
0.194000,2.416624,-2.119087,1.867593
0.195000,2.419685,-2.120550,1.870204
0.196000,2.422746,-2.122012,1.872813
0.197000,2.425805,-2.123472,1.875418
0.198000,2.428865,-2.124931,1.878021
0.199000,2.431924,-2.126388,1.880621
0.200000,2.434982,-2.127844,1.883218
0.201000,2.438040,-2.129298,1.885813
0.202000,2.441097,-2.130751,1.888404
0.203000,2.444154,-2.132202,1.890993
0.204000,2.447210,-2.133652,1.893579
0.205000,2.450266,-2.135100,1.896163
0.206000,2.453321,-2.136547,1.898743
0.207000,2.456376,-2.137993,1.901320
0.208000,2.459429,-2.139436,1.903895
0.209000,2.462483,-2.140879,1.906467
0.210000,2.465535,-2.142319,1.909036
0.211000,2.468587,-2.143758,1.911602
0.212000,2.471639,-2.145196,1.914165
0.213000,2.474690,-2.146632,1.916726
0.214000,2.477740,-2.148066,1.919283
0.215000,2.480789,-2.149499,1.921838
0.216000,2.483838,-2.150930,1.924390
0.217000,2.486887,-2.152359,1.926939
0.218000,2.489934,-2.153787,1.929485
0.219000,2.492981,-2.155213,1.932028
0.220000,2.496027,-2.156638,1.934568
0.221000,2.499073,-2.158061,1.937105
0.222000,2.502118,-2.159482,1.939640
0.223000,2.505162,-2.160901,1.942171
0.224000,2.508205,-2.162319,1.944699
0.225000,2.511248,-2.163735,1.947225
0.226000,2.514290,-2.165150,1.949748
0.227000,2.517331,-2.166562,1.952267
0.228000,2.520371,-2.167973,1.954784
0.229000,2.523411,-2.169383,1.957298
0.230000,2.526450,-2.170790,1.959808
0.231000,2.529488,-2.172196,1.962316
0.232000,2.532526,-2.173600,1.964821
0.233000,2.535563,-2.175002,1.967323
0.234000,2.538598,-2.176402,1.969822
0.235000,2.541634,-2.177801,1.972317
0.236000,2.544668,-2.179197,1.974810
0.237000,2.547701,-2.180592,1.977300
0.238000,2.550734,-2.181985,1.979787
0.239000,2.553766,-2.183377,1.982271
0.240000,2.556797,-2.184766,1.984752
0.241000,2.559827,-2.186154,1.987229
0.242000,2.562856,-2.187540,1.989704
0.243000,2.565885,-2.188923,1.992176
0.244000,2.568912,-2.190305,1.994645
0.245000,2.571939,-2.191686,1.997110
0.246000,2.574965,-2.193064,1.999573
0.247000,2.577990,-2.194440,2.002032
0.248000,2.581014,-2.195815,2.004489
0.249000,2.584037,-2.197187,2.006942
0.250000,2.587060,-2.198558,2.009392
0.251000,2.590081,-2.199926,2.011840
0.252000,2.593102,-2.201293,2.014284
0.253000,2.596121,-2.202658,2.016725
0.254000,2.599140,-2.204021,2.019163
0.255000,2.602157,-2.205382,2.021598
0.256000,2.605174,-2.206740,2.024030
0.257000,2.608190,-2.208097,2.026458
0.258000,2.611205,-2.209452,2.028884
0.259000,2.614219,-2.210805,2.031306
0.260000,2.617231,-2.212156,2.033726
0.261000,2.620243,-2.213505,2.036142
0.262000,2.623254,-2.214852,2.038555
0.263000,2.626264,-2.216197,2.040965
0.264000,2.629273,-2.217540,2.043372
0.265000,2.632281,-2.218880,2.045776
0.266000,2.635288,-2.220219,2.048176
0.267000,2.638294,-2.221556,2.050574
0.268000,2.641298,-2.222890,2.052968
0.269000,2.644302,-2.224223,2.055359
0.270000,2.647305,-2.225554,2.057747
0.271000,2.650306,-2.226882,2.060132
0.272000,2.653307,-2.228208,2.062514
0.273000,2.656307,-2.229532,2.064892
0.274000,2.659305,-2.230854,2.067267
0.275000,2.662302,-2.232174,2.069639
0.276000,2.665299,-2.233492,2.072008
0.277000,2.668294,-2.234808,2.074374
0.278000,2.671288,-2.236122,2.076737
0.279000,2.674281,-2.237433,2.079096
0.280000,2.677273,-2.238742,2.081452
0.281000,2.680263,-2.240050,2.083805
0.282000,2.683253,-2.241355,2.086155
0.283000,2.686241,-2.242657,2.088501
0.284000,2.689229,-2.243958,2.090845
0.285000,2.692215,-2.245256,2.093185
0.286000,2.695200,-2.246553,2.095522
0.287000,2.698183,-2.247847,2.097855
0.288000,2.701166,-2.249139,2.100186
0.289000,2.704147,-2.250428,2.102513
0.290000,2.707128,-2.251716,2.104837
0.291000,2.710107,-2.253001,2.107158
0.292000,2.713085,-2.254284,2.109475
0.293000,2.716061,-2.255565,2.111789
0.294000,2.719037,-2.256843,2.114100
0.295000,2.722011,-2.258120,2.116408
0.296000,2.724984,-2.259394,2.118713
0.297000,2.727956,-2.260666,2.121014
0.298000,2.730926,-2.261935,2.123312
0.299000,2.733895,-2.263202,2.125606
0.300000,2.736863,-2.264467,2.127898
0.301000,2.739830,-2.265730,2.130186
0.302000,2.742795,-2.266990,2.132471
0.303000,2.745759,-2.268249,2.134753
0.304000,2.748722,-2.269504,2.137031
0.305000,2.751684,-2.270758,2.139306
0.306000,2.754644,-2.272009,2.141578
0.307000,2.757603,-2.273258,2.143846
0.308000,2.760561,-2.274505,2.146112
0.309000,2.763517,-2.275749,2.148373
0.310000,2.766472,-2.276991,2.150632
0.311000,2.769426,-2.278231,2.152887
0.312000,2.772378,-2.279468,2.155139
0.313000,2.775329,-2.280703,2.157388
0.314000,2.778279,-2.281935,2.159633
0.315000,2.781227,-2.283166,2.161876
0.316000,2.784174,-2.284394,2.164114
0.317000,2.787119,-2.285619,2.166350
0.318000,2.790063,-2.286842,2.168582
0.319000,2.793006,-2.288063,2.170811
0.320000,2.795947,-2.289281,2.173036
0.321000,2.798887,-2.290497,2.175259
0.322000,2.801826,-2.291711,2.177478
0.323000,2.804763,-2.292922,2.179693
0.324000,2.807699,-2.294131,2.181905
0.325000,2.810633,-2.295337,2.184114
0.326000,2.813566,-2.296541,2.186320
0.327000,2.816497,-2.297743,2.188522
0.328000,2.819427,-2.298942,2.190721
0.329000,2.822356,-2.300139,2.192917
0.330000,2.825283,-2.301333,2.195109
0.331000,2.828208,-2.302525,2.197298
0.332000,2.831132,-2.303715,2.199483
0.333000,2.834055,-2.304902,2.201665
0.334000,2.836976,-2.306087,2.203844
0.335000,2.839895,-2.307269,2.206020
0.336000,2.842814,-2.308448,2.208192
0.337000,2.845730,-2.309626,2.210361
0.338000,2.848645,-2.310801,2.212526
0.339000,2.851559,-2.311973,2.214688
0.340000,2.854471,-2.313143,2.216847
0.341000,2.857381,-2.314310,2.219002
0.342000,2.860290,-2.315475,2.221154
0.343000,2.863198,-2.316638,2.223303
0.344000,2.866103,-2.317798,2.225448
0.345000,2.869008,-2.318955,2.227590
0.346000,2.871910,-2.320110,2.229729
0.347000,2.874811,-2.321263,2.231864
0.348000,2.877711,-2.322413,2.233996
0.349000,2.880609,-2.323561,2.236125
0.350000,2.883505,-2.324706,2.238250
0.351000,2.886400,-2.325848,2.240371
0.352000,2.889293,-2.326988,2.242490
0.353000,2.892185,-2.328126,2.244605
0.354000,2.895075,-2.329261,2.246716
0.355000,2.897963,-2.330393,2.248825
0.356000,2.900850,-2.331523,2.250930
0.357000,2.903735,-2.332651,2.253031
0.358000,2.906618,-2.333776,2.255129
0.359000,2.909500,-2.334898,2.257224
0.360000,2.912380,-2.336018,2.259315
0.361000,2.915258,-2.337136,2.261403
0.362000,2.918135,-2.338251,2.263488
0.363000,2.921010,-2.339363,2.265569
0.364000,2.923883,-2.340473,2.267647
0.365000,2.926755,-2.341580,2.269722
0.366000,2.929625,-2.342685,2.271793
0.367000,2.932493,-2.343787,2.273861
0.368000,2.935360,-2.344887,2.275925
0.369000,2.938224,-2.345984,2.277986
0.370000,2.941087,-2.347078,2.280043
0.371000,2.943949,-2.348170,2.282098
0.372000,2.946808,-2.349260,2.284149
0.373000,2.949666,-2.350347,2.286196
0.374000,2.952523,-2.351431,2.288240
0.375000,2.955377,-2.352513,2.290281
0.376000,2.958230,-2.353592,2.292318
0.377000,2.961080,-2.354668,2.294352
0.378000,2.963929,-2.355742,2.296383
0.379000,2.966777,-2.356814,2.298410
0.380000,2.969622,-2.357883,2.300434
0.381000,2.972466,-2.358949,2.302454
0.382000,2.975308,-2.360013,2.304471
0.383000,2.978148,-2.361074,2.306485
0.384000,2.980986,-2.362133,2.308495
0.385000,2.983823,-2.363189,2.310502
0.386000,2.986658,-2.364242,2.312505
0.387000,2.989490,-2.365293,2.314505
0.388000,2.992321,-2.366341,2.316502
0.389000,2.995151,-2.367387,2.318495
0.390000,2.997978,-2.368430,2.320485
0.391000,3.000803,-2.369471,2.322472
0.392000,3.003627,-2.370509,2.324455
0.393000,3.006449,-2.371544,2.326435
0.394000,3.009269,-2.372577,2.328412
0.395000,3.012087,-2.373607,2.330385
0.396000,3.014903,-2.374635,2.332354
0.397000,3.017717,-2.375660,2.334321
0.398000,3.020529,-2.376682,2.336284
0.399000,3.023340,-2.377702,2.338243
0.400000,3.026148,-2.378719,2.340199
0.401000,3.028955,-2.379734,2.342152
0.402000,3.031759,-2.380746,2.344102
0.403000,3.034562,-2.381755,2.346048
0.404000,3.037363,-2.382762,2.347991
0.405000,3.040162,-2.383766,2.349930
0.406000,3.042959,-2.384768,2.351866
0.407000,3.045754,-2.385767,2.353799
0.408000,3.048547,-2.386763,2.355728
0.409000,3.051338,-2.387757,2.357654
0.410000,3.054127,-2.388748,2.359577
0.411000,3.056914,-2.389737,2.361496
0.412000,3.059699,-2.390723,2.363412
0.413000,3.062482,-2.391706,2.365324
0.414000,3.065263,-2.392687,2.367233
0.415000,3.068043,-2.393665,2.369139
0.416000,3.070820,-2.394641,2.371041
0.417000,3.073595,-2.395614,2.372940
