time,wrist_pos,wrist_vel,elbow_pos,elbow_vel,wrist_tau,elbow_tau,M11_wrist,M22_elbow
0.005000,-0.099162,0.167669,0.099631,-0.073835,4.991167,0.000000,1.333000,4.656008
0.010000,-0.097693,0.293659,0.098955,-0.135252,4.991167,0.000000,1.333000,4.656175
0.015000,-0.093372,0.864247,0.096860,-0.418970,20.000000,0.000000,1.333000,4.656464
0.020000,-0.086191,1.436270,0.093343,-0.703410,20.000000,0.000000,1.333000,4.657288
0.025000,-0.076136,2.011054,0.088396,-0.989243,20.000000,0.000000,1.333000,4.658576
0.030000,-0.063187,2.589695,0.082011,-1.277022,20.000000,0.000000,1.333000,4.660206
0.035000,-0.047322,3.172931,0.074176,-1.567126,20.000000,0.000000,1.333000,4.662009
0.040000,-0.028517,3.761001,0.064877,-1.859678,20.000000,0.000000,1.333000,4.663761
0.045000,-0.006750,4.353483,0.054105,-2.154477,20.000000,0.000000,1.333000,4.665187
0.050000,0.017996,4.949131,0.041850,-2.450902,20.000000,0.000000,1.333000,4.665954
0.055000,0.045724,5.545707,0.028111,-2.747841,20.000000,0.000000,1.333000,4.665676
0.060000,0.076424,6.139854,0.012893,-3.043620,20.000000,0.000000,1.333000,4.663910
0.065000,0.110059,6.727026,-0.003787,-3.335970,20.000000,0.000000,1.333000,4.660162
0.070000,0.146566,7.301538,-0.021897,-3.622052,20.000000,0.000000,1.333000,4.653899
0.075000,0.185850,7.856759,-0.041390,-3.898552,20.000000,0.000000,1.333000,4.644557
0.080000,0.227778,8.385487,-0.062199,-4.161873,20.000000,0.000000,1.333000,4.631559
0.085000,0.272180,8.880487,-0.084241,-4.408400,20.000000,0.000000,1.333000,4.614341
0.090000,0.318856,9.335136,-0.107415,-4.634820,20.000000,0.000000,1.333000,4.592374
0.095000,0.367576,9.744060,-0.131607,-4.838451,20.000000,0.000000,1.333000,4.565190
0.100000,0.418094,10.103663,-0.156695,-5.017495,20.000000,0.000000,1.333000,4.532402
0.105000,0.470156,10.412411,-0.182551,-5.171188,20.000000,0.000000,1.333000,4.493729
