time,theta0,theta1,dtheta0,dtheta1,M00,M01,M10,M11,Cv0,Cv1,taug0,taug1,hplus0,hplus1,hminus0,hminus1,vdot_plus0,vdot_plus1,vdot_minus0,vdot_minus1
0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,3.743604612,1.870302306,1.870302306,1.330000000,0.000000000,0.000000000,-21.302453299,-8.920207757,-21.302453299,-8.920207757,21.302453299,8.920207757,7.865675550,-4.354122829,-7.865675550,4.354122829
0.001000000,0.999992134,1.000004354,-0.007865676,0.004354123,3.743597284,1.870298642,1.870298642,1.330000000,0.000041685,0.000052061,-21.302405097,-8.920222093,-21.302363413,-8.920170032,21.302446782,8.920274154,7.865643511,-4.354084470,-7.865586887,4.353926556
0.002000000,0.999976403,1.000013062,-0.015731262,0.008708049,3.743582629,1.870291314,1.870291314,1.330000000,0.000166736,0.000208243,-21.302308693,-8.920250764,-21.302141957,-8.920042521,21.302475430,8.920459007,7.865607742,-4.354086708,-7.865381250,4.353455059
0.003000000,0.999952806,1.000026124,-0.023596644,0.013061504,3.743560647,1.870280323,1.870280323,1.330000000,0.000375145,0.000468540,-21.302164084,-8.920293771,-21.301788939,-8.919825231,21.302539228,8.920762311,7.865568245,-4.354129541,-7.865058639,4.352708349
0.004000000,0.999921345,1.000043538,-0.031461702,0.017414213,3.743531339,1.870265669,1.870265669,1.330000000,0.000666890,0.000832944,-21.301971265,-8.920351115,-21.301304375,-8.919518171,21.302638156,8.921184059,7.865525016,-4.354212962,-7.864619059,4.351686444
0.005000000,0.999882018,1.000065304,-0.039326321,0.021765899,3.743494707,1.870247353,1.870247353,1.330000000,0.001041946,0.001301440,-21.301730234,-8.920422797,-21.300688288,-8.919121357,21.302772179,8.921724236,7.865478055,-4.354336962,-7.864062511,4.350389371
0.006000000,0.999834828,1.000091420,-0.047190384,0.026116289,3.743450753,1.870225376,1.870225376,1.330000000,0.001500275,0.001874009,-21.301440982,-8.920508818,-21.299940707,-8.918634809,21.302941257,8.922382827,7.865427360,-4.354501530,-7.863389000,4.348817161
0.007000000,0.999779774,1.000121885,-0.055053773,0.030465106,3.743399478,1.870199739,1.870199739,1.330000000,0.002041834,0.002550629,-21.301103505,-8.920609180,-21.299061672,-8.918058551,21.303145339,8.923159809,7.865372929,-4.354706654,-7.862598528,4.346969855
0.008000000,0.999716858,1.000156697,-0.062916371,0.034812076,3.743340886,1.870170443,1.870170443,1.330000000,0.002666569,0.003331273,-21.300717794,-8.920723884,-21.298051226,-8.917392612,21.303384363,8.924055157,7.865314761,-4.354952315,-7.861691102,4.344847500
0.009000000,0.999646080,1.000195854,-0.070778063,0.039156923,3.743274980,1.870137490,1.870137490,1.330000000,0.003374418,0.004215908,-21.300283841,-8.920852934,-21.296909423,-8.916637027,21.303658259,8.925068842,7.865252852,-4.355238496,-7.860666726,4.342450149
