time,wrist_pos,wrist_vel,elbow_pos,elbow_vel,wrist_tau,elbow_tau,M11_wrist,M22_elbow
0.005000,-0.099797,0.040661,0.099897,-0.020669,0.000000,0.000000,1.330000,1.685500
0.010000,-0.099485,0.062290,0.099731,-0.033052,0.000000,0.000000,1.330000,4.653049
0.015000,-0.097575,0.381984,0.098760,-0.194369,10.032811,0.000000,1.330000,4.653111
0.020000,-0.094073,0.700421,0.096984,-0.355035,10.032811,0.000000,1.330000,4.653487
0.025000,-0.088200,1.174688,0.094017,-0.593539,15.310175,0.000000,1.330000,4.654157
0.030000,-0.079963,1.647431,0.089860,-0.831238,15.310175,0.000000,1.330000,4.655226
0.035000,-0.068669,2.258711,0.084170,-1.138112,20.000000,0.000000,1.330000,4.656609
0.040000,-0.054328,2.868161,0.076950,-1.444006,20.000000,0.000000,1.330000,4.658286
0.045000,-0.036953,3.475022,0.068207,-1.748535,20.000000,0.000000,1.330000,4.660049
0.050000,-0.016564,4.077837,0.057952,-2.050963,20.000000,0.000000,1.330000,4.661635
0.055000,0.006808,4.674316,0.046202,-2.350138,20.000000,0.000000,1.330000,4.662726
0.060000,0.033114,5.261229,0.032980,-2.644440,20.000000,0.000000,1.330000,4.662954
0.065000,0.062286,5.834368,0.018321,-2.931762,20.000000,0.000000,1.330000,4.661904
0.070000,0.094229,6.388589,0.002273,-3.209528,20.000000,0.000000,1.330000,4.659122
0.075000,0.128818,6.917992,-0.015101,-3.474785,20.000000,0.000000,1.330000,4.654128
0.080000,0.165900,7.416235,-0.033723,-3.724361,20.000000,0.000000,1.330000,4.646429
0.085000,0.205285,7.876995,-0.053498,-3.955092,20.000000,0.000000,1.330000,4.635540
0.090000,0.246757,8.294511,-0.074319,-4.164098,20.000000,0.000000,1.330000,4.621006
0.095000,0.290078,8.664148,-0.096064,-4.349060,20.000000,0.000000,1.330000,4.602419
0.100000,0.334992,8.982860,-0.118606,-4.508452,20.000000,0.000000,1.330000,4.579443
0.105000,0.381240,9.249477,-0.141815,-4.641689,20.000000,0.000000,1.330000,4.551826
0.110000,0.428563,9.464750,-0.165560,-4.749143,20.000000,0.000000,1.330000,4.519408
0.115000,0.476719,9.631163,-0.189721,-4.832050,20.000000,0.000000,1.330000,4.482127
0.120000,0.525482,9.752570,-0.214182,-4.892335,20.000000,0.000000,1.330000,4.440010
0.125000,0.574651,9.833744,-0.238844,-4.932376,20.000000,0.000000,1.330000,4.393164
0.130000,0.624050,9.879925,-0.263618,-4.954787,20.000000,0.000000,1.330000,4.341764
0.135000,0.673532,9.896422,-0.288429,-4.962215,20.000000,0.000000,1.330000,4.286037
0.140000,0.722974,9.888322,-0.313215,-4.957193,20.000000,0.000000,1.330000,4.226246
0.145000,0.772276,9.860288,-0.337925,-4.942044,20.000000,0.000000,1.330000,4.162683
0.150000,0.821358,9.816458,-0.362519,-4.918826,20.000000,0.000000,1.330000,4.095649
0.155000,0.870160,9.760404,-0.386966,-4.889313,20.000000,0.000000,1.330000,4.025456
0.160000,0.918636,9.695151,-0.411241,-4.855006,20.000000,0.000000,1.330000,3.952409
0.165000,0.966752,9.623213,-0.435327,-4.817147,20.000000,0.000000,1.330000,3.876810
0.170000,1.014485,9.546650,-0.459211,-4.776753,20.000000,0.000000,1.330000,3.798952
0.175000,1.061821,9.467134,-0.482884,-4.734644,20.000000,0.000000,1.330000,3.719115
0.180000,1.108751,9.386004,-0.506341,-4.691472,20.000000,0.000000,1.330000,3.637566
0.185000,1.155272,9.304322,-0.529580,-4.647750,20.000000,0.000000,1.330000,3.554560
0.190000,1.201387,9.222925,-0.552599,-4.603876,20.000000,0.000000,1.330000,3.470339
0.195000,1.247099,9.142464,-0.575400,-4.560155,20.000000,0.000000,1.330000,3.385130
0.200000,1.292416,9.063442,-0.597984,-4.516814,20.000000,0.000000,1.330000,3.299148
0.205000,1.337348,8.986238,-0.620354,-4.474019,20.000000,0.000000,1.330000,3.212597
0.210000,1.381903,8.911140,-0.642514,-4.431884,20.000000,0.000000,1.330000,3.125668
0.215000,1.426095,8.838355,-0.664466,-4.390484,20.000000,0.000000,1.330000,3.038543
0.220000,1.469935,8.768032,-0.686215,-4.349861,20.000000,0.000000,1.330000,2.951394
0.225000,1.513437,8.700273,-0.707765,-4.310030,20.000000,0.000000,1.330000,2.864380
0.230000,1.556612,8.635139,-0.729120,-4.270985,20.000000,0.000000,1.330000,2.777657
0.235000,1.599476,8.572667,-0.750284,-4.232701,20.000000,0.000000,1.330000,2.691367
0.240000,1.642040,8.512869,-0.771260,-4.195140,20.000000,0.000000,1.330000,2.605649
0.245000,1.684319,8.455739,-0.792051,-4.158249,20.000000,0.000000,1.330000,2.520633
0.250000,1.726325,8.401260,-0.812661,-4.121967,20.000000,0.000000,1.330000,2.436443
0.255000,1.768072,8.349405,-0.833092,-4.086223,20.000000,0.000000,1.330000,2.353195
0.260000,1.809573,8.300142,-0.853347,-4.050937,20.000000,0.000000,1.330000,2.271003
0.265000,1.850840,8.253431,-0.873427,-4.016023,20.000000,0.000000,1.330000,2.189972
0.270000,1.891886,8.209232,-0.893334,-3.981387,20.000000,0.000000,1.330000,2.110205
0.275000,1.932724,8.167501,-0.913068,-3.946929,20.000000,0.000000,1.330000,2.031799
0.280000,1.973364,8.128197,-0.932631,-3.912541,20.000000,0.000000,1.330000,1.954846
0.285000,2.013821,8.091275,-0.952021,-3.878113,20.000000,0.000000,1.330000,1.879435
0.290000,2.054104,8.056694,-0.971239,-3.843524,20.000000,0.000000,1.330000,1.805652
0.295000,2.094226,8.024413,-0.990282,-3.808651,20.000000,0.000000,1.330000,1.733578
0.300000,2.134198,7.994395,-1.009149,-3.773364,20.000000,0.000000,1.330000,1.663292
0.305000,2.174031,7.966602,-1.027837,-3.737529,20.000000,0.000000,1.330000,1.594869
0.310000,2.213736,7.941000,-1.046342,-3.701008,20.000000,0.000000,1.330000,1.528381
0.315000,2.253324,7.917558,-1.064660,-3.663660,20.000000,0.000000,1.330000,1.463898
0.320000,2.292805,7.896248,-1.082787,-3.625341,20.000000,0.000000,1.330000,1.401487
0.325000,2.332191,7.877044,-1.100716,-3.585911,20.000000,0.000000,1.330000,1.341212
0.330000,2.371490,7.859923,-1.118443,-3.545231,20.000000,0.000000,1.330000,1.283137
0.335000,2.410715,7.844867,-1.135958,-3.503169,20.000000,0.000000,1.330000,1.227321
0.340000,2.449874,7.831859,-1.153256,-3.459608,20.000000,0.000000,1.330000,1.173823
0.345000,2.488091,7.643483,-1.169886,-3.325979,-17.284599,0.000000,1.330000,1.122698
0.350000,2.525397,7.461143,-1.185853,-3.193254,-17.284599,0.000000,1.330000,1.075080
0.355000,2.561755,7.271645,-1.201127,-3.054921,-20.000000,0.000000,1.330000,1.030834
0.360000,2.597192,7.087372,-1.215714,-2.917296,-20.000000,0.000000,1.330000,0.989897
0.365000,2.631731,6.907837,-1.229615,-2.780273,-20.000000,0.000000,1.330000,0.952124
0.370000,2.665394,6.732600,-1.242834,-2.643799,-20.000000,0.000000,1.330000,0.917376
0.375000,2.698201,6.561264,-1.255373,-2.507872,-20.000000,0.000000,1.330000,0.885512
0.380000,2.730168,6.393469,-1.267236,-2.372538,-20.000000,0.000000,1.330000,0.856397
0.385000,2.761591,6.284572,-1.278564,-2.265622,-7.482224,0.000000,1.330000,0.829896
0.390000,2.792481,6.177999,-1.289359,-2.158960,-7.482224,0.000000,1.330000,0.805672
0.395000,2.823454,6.194594,-1.299924,-2.113022,20.000000,0.000000,1.330000,0.783646
0.400000,2.854514,6.212123,-1.310258,-2.066699,20.000000,0.000000,1.330000,0.763362
0.405000,2.885668,6.230642,-1.320360,-2.020374,20.000000,0.000000,1.330000,0.744849
0.410000,2.916919,6.250214,-1.330232,-1.974484,20.000000,0.000000,1.330000,0.728141
0.415000,2.948273,6.270905,-1.339880,-1.929516,20.000000,0.000000,1.330000,0.713266
0.420000,2.979737,6.292786,-1.349310,-1.886001,20.000000,0.000000,1.330000,0.700256
0.425000,3.010522,6.156930,-1.358136,-1.765347,-16.864212,0.000000,1.330000,0.689140
0.430000,3.040637,6.023058,-1.366376,-1.648012,-16.864212,0.000000,1.330000,0.680155
0.435000,3.070025,5.877534,-1.374014,-1.527510,-20.000000,0.000000,1.330000,0.673183
0.440000,3.098693,5.733722,-1.381068,-1.410750,-20.000000,0.000000,1.330000,0.668120
0.445000,3.126651,5.591473,-1.387557,-1.297802,-20.000000,0.000000,1.330000,0.664840
0.450000,3.153904,5.450643,-1.393500,-1.188675,-20.000000,0.000000,1.330000,0.663223
0.455000,3.180459,5.311104,-1.398917,-1.083311,-20.000000,0.000000,1.330000,0.663152
0.460000,3.206323,5.172732,-1.403825,-0.981596,-20.000000,0.000000,1.330000,0.664510
0.465000,3.231527,5.040808,-1.408255,-0.886053,-18.743164,0.000000,1.330000,0.667189
0.470000,3.256076,4.909836,-1.412224,-0.793808,-18.743164,0.000000,1.330000,0.671083
0.475000,3.280808,4.946361,-1.416162,-0.787586,20.000000,0.000000,1.330000,0.676092
0.480000,3.305728,4.984051,-1.420087,-0.784990,20.000000,0.000000,1.330000,0.682350
0.485000,3.330843,5.022966,-1.424017,-0.786109,20.000000,0.000000,1.330000,0.689880
0.490000,3.356159,5.063165,-1.427972,-0.790999,20.000000,0.000000,1.330000,0.698709
0.495000,3.381683,5.104705,-1.431971,-0.799682,20.000000,0.000000,1.330000,0.708862
0.500000,3.407421,5.147643,-1.436031,-0.812148,20.000000,0.000000,1.330000,0.720367
0.505000,3.433381,5.192038,-1.440173,-0.828357,20.000000,0.000000,1.330000,0.733249
0.510000,3.459571,5.237945,-1.444414,-0.848246,20.000000,0.000000,1.330000,0.747538
0.515000,3.485998,5.285421,-1.448773,-0.871723,20.000000,0.000000,1.330000,0.763261
0.520000,3.512670,5.334525,-1.453266,-0.898681,20.000000,0.000000,1.330000,0.780447
0.525000,3.539597,5.385317,-1.457911,-0.928993,20.000000,0.000000,1.330000,0.799126
0.530000,3.566786,5.437858,-1.462724,-0.962524,20.000000,0.000000,1.330000,0.819327
0.535000,3.594247,5.492212,-1.467720,-0.999128,20.000000,0.000000,1.330000,0.841082
0.540000,3.621990,5.548447,-1.472913,-1.038656,20.000000,0.000000,1.330000,0.864422
0.545000,3.650023,5.606637,-1.478318,-1.080959,20.000000,0.000000,1.330000,0.889377
0.550000,3.678357,5.666858,-1.483947,-1.125890,20.000000,0.000000,1.330000,0.915980
0.555000,3.707003,5.729194,-1.489814,-1.173308,20.000000,0.000000,1.330000,0.944265
0.560000,3.735972,5.793734,-1.495929,-1.223080,20.000000,0.000000,1.330000,0.974262
0.565000,3.765275,5.860579,-1.502305,-1.275085,20.000000,0.000000,1.330000,1.006007
0.570000,3.794924,5.929833,-1.508951,-1.329212,20.000000,0.000000,1.330000,1.039533
0.575000,3.824932,6.001614,-1.515877,-1.385367,20.000000,0.000000,1.330000,1.074873
0.580000,3.855312,6.076048,-1.523095,-1.443469,20.000000,0.000000,1.330000,1.112063
0.585000,3.886078,6.153276,-1.530612,-1.503456,20.000000,0.000000,1.330000,1.151136
0.590000,3.917246,6.233450,-1.538438,-1.565280,20.000000,0.000000,1.330000,1.192127
0.595000,3.948829,6.316737,-1.546583,-1.628914,20.000000,0.000000,1.330000,1.235072
