time,wrist_pos,wrist_vel,elbow_pos,elbow_vel,wrist_tau,elbow_tau,M11_wrist,M22_elbow
0.005000,-0.099791,0.041732,0.099938,-0.012444,0.000000,0.000000,1.333000,4.656008
0.010000,-0.099474,0.063432,0.099813,-0.024872,0.000000,0.000000,1.333000,4.656050
0.015000,-0.097459,0.403034,0.098832,-0.196251,10.745025,0.000000,1.333000,4.656113
0.020000,-0.092966,0.898549,0.096604,-0.445583,16.012597,0.000000,1.333000,4.656509
0.025000,-0.085404,1.512526,0.092834,-0.754134,20.000000,0.000000,1.333000,4.657363
0.030000,-0.074767,2.127251,0.087518,-1.063039,20.000000,0.000000,1.333000,4.658711
0.035000,-0.061054,2.742660,0.080657,-1.372258,20.000000,0.000000,1.333000,4.660412
0.040000,-0.044263,3.358177,0.072250,-1.681494,20.000000,0.000000,1.333000,4.662274
0.045000,-0.024400,3.972544,0.062299,-1.990110,20.000000,0.000000,1.333000,4.664041
0.050000,-0.007483,3.383535,0.053814,-1.696985,-20.000000,0.000000,1.333000,4.665405
0.055000,0.006461,2.788690,0.046810,-1.400897,-20.000000,0.000000,1.333000,4.665944
0.060000,0.017412,2.190246,0.041295,-1.102972,-20.000000,0.000000,1.333000,4.665958
0.065000,0.031364,2.790425,0.034273,-1.404330,20.000000,0.000000,1.333000,4.665697
0.070000,0.048295,3.386222,0.025756,-1.703461,20.000000,0.000000,1.333000,4.665016
0.075000,0.068172,3.975396,0.015760,-1.999236,20.000000,0.000000,1.333000,4.663668
0.080000,0.084983,3.362124,0.007291,-1.693738,-20.000000,0.000000,1.333000,4.661354
0.085000,0.098728,2.749003,0.000350,-1.388270,-20.000000,0.000000,1.333000,4.658782
0.090000,0.109414,2.137263,-0.005068,-1.083456,-20.000000,0.000000,1.333000,4.656261
0.095000,0.122951,2.707418,-0.011915,-1.369558,20.000000,0.000000,1.333000,4.654041
0.100000,0.139299,3.269571,-0.020174,-1.651626,20.000000,0.000000,1.333000,4.650902
0.105000,0.158404,3.821023,-0.029815,-1.928304,20.000000,0.000000,1.333000,4.646627
0.110000,0.174409,3.200968,-0.037911,-1.619182,-20.000000,0.000000,1.333000,4.640961
0.115000,0.187342,2.586589,-0.044475,-1.312853,-20.000000,0.000000,1.333000,4.635659
0.120000,0.197231,1.977823,-0.049522,-1.009292,-20.000000,0.000000,1.333000,4.631006
0.125000,0.209777,2.509119,-0.055900,-1.275730,20.000000,0.000000,1.333000,4.627226
0.130000,0.224930,3.030622,-0.063587,-1.537242,20.000000,0.000000,1.333000,4.622155
0.135000,0.242628,3.539633,-0.072549,-1.792474,20.000000,0.000000,1.333000,4.615620
0.140000,0.258460,3.166363,-0.080582,-1.606526,-11.407001,0.000000,1.333000,4.607420
0.145000,0.271274,2.562868,-0.087109,-1.305419,-20.000000,0.000000,1.333000,4.599570
0.150000,0.281115,1.968163,-0.092152,-1.008664,-20.000000,0.000000,1.333000,4.592861
0.155000,0.293391,2.455271,-0.098416,-1.252780,20.000000,0.000000,1.333000,4.587493
0.160000,0.308048,2.931429,-0.105873,-1.491394,20.000000,0.000000,1.333000,4.580537
0.165000,0.325019,3.394129,-0.114489,-1.723248,20.000000,0.000000,1.333000,4.571854
0.170000,0.344223,3.840849,-0.124224,-1.947074,20.000000,0.000000,1.333000,4.561289
0.175000,0.360462,3.247815,-0.132479,-1.650983,-20.000000,0.000000,1.333000,4.548676
0.180000,0.373805,2.668586,-0.139288,-1.361738,-20.000000,0.000000,1.333000,4.537468
0.185000,0.384311,2.101209,-0.144680,-1.078370,-20.000000,0.000000,1.333000,4.527889
0.190000,0.396956,2.528878,-0.151142,-1.292481,20.000000,0.000000,1.333000,4.520114
0.195000,0.411679,2.944699,-0.158646,-1.500643,20.000000,0.000000,1.333000,4.510484
0.200000,0.428412,3.346619,-0.167155,-1.701823,20.000000,0.000000,1.333000,4.498900
0.205000,0.444753,3.268164,-0.175469,-1.662779,0.333000,0.000000,1.333000,4.485253
0.210000,0.458335,2.716469,-0.182404,-1.387068,-20.000000,0.000000,1.333000,4.471434
0.215000,0.469226,2.178023,-0.187994,-1.117926,-20.000000,0.000000,1.333000,4.459580
0.220000,0.482012,2.557249,-0.194531,-1.307573,20.000000,0.000000,1.333000,4.449838
0.225000,0.496636,2.924835,-0.201988,-1.491372,20.000000,0.000000,1.333000,4.438128
0.230000,0.513032,3.279172,-0.210331,-1.668515,20.000000,0.000000,1.333000,4.424381
0.235000,0.527999,2.993470,-0.217959,-1.525602,-8.873793,0.000000,1.333000,4.408521
0.240000,0.540386,2.477328,-0.224296,-1.267415,-20.000000,0.000000,1.333000,4.393634
0.245000,0.550254,1.973617,-0.229373,-1.015388,-20.000000,0.000000,1.333000,4.381021
0.250000,0.561815,2.312156,-0.235295,-1.184437,20.000000,0.000000,1.333000,4.370784
0.255000,0.575019,2.640875,-0.242038,-1.348551,20.000000,0.000000,1.333000,4.358580
0.260000,0.589812,2.958494,-0.249573,-1.507085,20.000000,0.000000,1.333000,4.344364
0.265000,0.606131,3.263868,-0.257871,-1.659461,20.000000,0.000000,1.333000,4.328091
0.270000,0.619998,2.773440,-0.264940,-1.413896,-20.000000,0.000000,1.333000,4.309717
0.275000,0.631481,2.296681,-0.270816,-1.175103,-20.000000,0.000000,1.333000,4.293759
0.280000,0.644441,2.591860,-0.277427,-1.322223,20.000000,0.000000,1.333000,4.280308
0.285000,0.658826,2.877028,-0.284748,-1.464304,20.000000,0.000000,1.333000,4.264872
0.290000,0.674582,3.151302,-0.292753,-1.600902,20.000000,0.000000,1.333000,4.247423
0.295000,0.688029,2.689336,-0.299599,-1.369338,-20.000000,0.000000,1.333000,4.227936
0.300000,0.699230,2.240135,-0.305320,-1.144092,-20.000000,0.000000,1.333000,4.210998
0.305000,0.711760,2.506103,-0.311702,-1.276374,20.000000,0.000000,1.333000,4.196676
0.310000,0.725577,2.763270,-0.318723,-1.404222,20.000000,0.000000,1.333000,4.180427
0.315000,0.740631,3.010951,-0.326359,-1.527286,20.000000,0.000000,1.333000,4.162234
0.320000,0.754833,2.840295,-0.333565,-1.441137,-4.290535,0.000000,1.333000,4.142085
0.325000,0.766901,2.413628,-0.339700,-1.226925,-20.000000,0.000000,1.333000,4.122772
0.330000,0.776889,1.997684,-0.344790,-1.018013,-20.000000,0.000000,1.333000,4.106129
0.335000,0.788068,2.235776,-0.350470,-1.136067,20.000000,0.000000,1.333000,4.092195
0.340000,0.800403,2.466891,-0.356723,-1.250598,20.000000,0.000000,1.333000,4.076432
0.345000,0.813855,2.690478,-0.363530,-1.361324,20.000000,0.000000,1.333000,4.058835
0.350000,0.828385,2.906063,-0.370870,-1.468003,20.000000,0.000000,1.333000,4.039402
0.355000,0.840907,2.504363,-0.377199,-1.265988,-20.000000,0.000000,1.333000,4.018133
0.360000,0.851472,2.113010,-0.382545,-1.069086,-20.000000,0.000000,1.333000,3.999574
0.365000,0.863090,2.323611,-0.388410,-1.173107,20.000000,0.000000,1.333000,3.983753
0.370000,0.875730,2.527826,-0.394780,-1.273892,20.000000,0.000000,1.333000,3.966185
0.375000,0.889356,2.725268,-0.401636,-1.371242,20.000000,0.000000,1.333000,3.946874
0.380000,0.901089,2.346696,-0.407539,-1.180531,-20.000000,0.000000,1.333000,3.925825
0.385000,0.910975,1.977169,-0.412510,-0.994285,-20.000000,0.000000,1.333000,3.907513
0.390000,0.921829,2.170678,-0.417958,-1.089509,20.000000,0.000000,1.333000,3.891951
0.395000,0.933623,2.358796,-0.423868,-1.181991,20.000000,0.000000,1.333000,3.874729
0.400000,0.946329,2.541195,-0.430226,-1.271563,20.000000,0.000000,1.333000,3.855852
0.405000,0.959917,2.717601,-0.437016,-1.358081,20.000000,0.000000,1.333000,3.835331
0.410000,0.971722,2.361063,-0.442906,-1.178065,-20.000000,0.000000,1.333000,3.813177
0.415000,0.981794,2.014392,-0.447921,-1.002928,-19.884442,0.000000,1.333000,3.793757
0.420000,0.990160,1.673207,-0.452073,-0.830489,-20.000000,0.000000,1.333000,3.777064
0.425000,0.999398,1.847687,-0.456653,-0.915846,20.000000,0.000000,1.333000,3.763112
0.430000,1.009489,2.018156,-0.461648,-0.999150,20.000000,0.000000,1.333000,3.747617
0.435000,1.020411,2.184334,-0.467050,-1.080257,20.000000,0.000000,1.333000,3.730587
0.440000,1.032141,2.345975,-0.472845,-1.159038,20.000000,0.000000,1.333000,3.712032
0.445000,1.044655,2.502867,-0.479022,-1.235381,20.000000,0.000000,1.333000,3.691965
0.450000,1.055522,2.173372,-0.484364,-1.068462,-20.000000,0.000000,1.333000,3.670401
0.455000,1.064776,1.850774,-0.488889,-0.904948,-20.000000,0.000000,1.333000,3.651547
